method,cluster,profile_name,student_count,source_cgpa,final_cgpa,computed_cgpa,cgpa_reconciliation_gap,course_count,unique_course_count,average_course_grade,failed_course_count,failed_unique_course_count,course_fail_rate,passed_course_count,course_pass_rate,attempted_credits,completed_credits,credit_completion_ratio,retake_count,repeated_course_count,retake_improved_count,retake_improvement_rate,out_of_sequence_attempts,out_of_sequence_rate,observed_semester_count,semester_observation_ratio,max_observed_semester,semester_gpa_std,grade_improvement_rate,first_to_last_gpa_change,first_semester_gpa,last_semester_gpa,early_gpa,late_gpa,credit_load_slope,credit_completion_slope,semester_1_gpa,semester_1_credits,semester_1_completed_credits,semester_2_gpa,semester_2_credits,semester_2_completed_credits,semester_3_gpa,semester_3_credits,semester_3_completed_credits,semester_4_gpa,semester_4_credits,semester_4_completed_credits,semester_5_gpa,semester_5_credits,semester_5_completed_credits,semester_6_gpa,semester_6_credits,semester_6_completed_credits,semester_7_gpa,semester_7_credits,semester_7_completed_credits,semester_8_gpa,semester_8_credits,semester_8_completed_credits,semester_9_gpa,semester_9_credits,semester_9_completed_credits,semester_10_gpa,semester_10_credits,semester_10_completed_credits
K-Means,0,Struggling Students,356,1.6524129213483147,1.6524129213483147,1.6523589789640092,5.3942384305335235e-05,15.101123595505618,15.067415730337078,1.6523589789640092,3.7134831460674156,3.710674157303371,0.3063404867014206,11.387640449438202,0.6936595132985793,35.80547752808989,25.832162921348313,0.6641082930602197,0.033707865168539325,0.033707865168539325,0.019662921348314606,0.009129213483146067,0.5926966292134831,0.030580693988864992,2.508426966292135,0.3129213483146068,2.609550561797753,0.43824901992599696,-0.360030529233657,-0.7281832033477396,1.9311012025396608,1.2029179991919212,1.7918993266691619,1.404388918794805,-0.587093707075037,-2.1680509172847406,1.926866024187306,15.710674157303371,12.015449438202246,1.9274592950234146,9.129213483146067,7.068820224719101,1.7004971716315693,4.550561797752809,3.162921348314607,1.50739278102895,3.523174157303371,2.2155898876404496,1.3573714462960786,1.9058988764044944,0.9817415730337079,1.122011401180519,0.6643258426966292,0.2598314606741573,0.8050108932461874,0.28792134831460675,0.11938202247191011,0.5,0.033707865168539325,0.008426966292134831,,0.0,0.0,,0.0,0.0
K-Means,1,Declining Performers,1542,2.895014915693904,2.895014915693904,2.895004640423995,1.0275269909321367e-05,9.523994811932555,9.469520103761349,2.895004640423995,0.1556420233463035,0.1556420233463035,0.013258296985949896,9.368352788586252,0.9867417030140502,23.21076523994812,22.79247730220493,0.9851004502465427,0.054474708171206226,0.054474708171206226,0.00648508430609598,0.0029723303069606574,0.20038910505836577,0.015136698542997368,1.6173800259403373,0.20157263294422828,1.6841763942931258,0.08641157461699885,-0.061419630679312345,-0.09018810806231384,2.9331138299986113,2.8429257219362967,2.8990074179592513,2.873957119777005,-0.6945969503542817,-0.7624417406698891,2.9361192325970946,14.952983138780803,14.757457846952011,2.797686817136603,5.615434500648508,5.481193255512322,2.641448815176118,2.017833981841764,1.937094682230869,2.5206961686189624,0.4085603112840467,0.40077821011673154,2.3377742492508577,0.13424124513618677,0.13424124513618677,2.5046875,0.04345006485084306,0.04345006485084306,2.695,0.0311284046692607,0.0311284046692607,3.857142857142857,0.007133592736705577,0.007133592736705577,,0.0,0.0,,0.0,0.0
K-Means,2,Late Bloomers,468,3.1025384615384617,3.1025384615384617,3.1025528677642265,-1.440622576484656e-05,58.995726495726494,58.35897435897436,3.1025528677642265,0.3547008547008547,0.3525641025641026,0.006465543464102544,58.64102564102564,0.9935344565358974,138.54594017094018,137.73290598290598,0.993184551684301,0.6367521367521367,0.6367521367521367,0.4423076923076923,0.3063174094424095,7.950854700854701,0.14209857673137882,8.106837606837606,0.9675925925925926,8.168803418803419,0.2895211303466696,0.006875108773757201,-0.008397344292268525,3.174110611258126,3.1657132669658576,3.1379842080817952,3.1535773189879612,-0.29174963701446793,-0.3323729026377336,3.1828665391517164,16.139957264957264,16.118589743589745,3.0975795197926987,17.44871794871795,17.425213675213676,3.001227029203226,18.375,18.32905982905983,3.080122411157913,16.341346153846153,16.311431623931625,3.0760262061414747,21.575320512820515,21.45673076923077,3.1236034449638304,14.6741452991453,14.558760683760683,3.128664991144081,18.569444444444443,18.21794871794872,3.1491929387962845,12.778846153846153,12.672008547008547,3.000687151550517,7.604895104895105,7.604895104895105,3.4529284068757753,4.04054054054054,4.04054054054054
K-Means,3,Consistent Performers,927,3.2299083063646172,3.2299083063646172,3.2298853599380455,2.2946426571236816e-05,37.29449838187702,36.74002157497303,3.2298853599380455,0.2243797195253506,0.22330097087378642,0.0060768037579997025,37.070118662351675,0.9939231962420002,96.94417475728156,96.39509169363538,0.9935646204081106,0.5544768069039914,0.5285868392664509,0.15426105717367852,0.0830105903325968,3.8155339805825244,0.10033506766253984,4.182308522114347,0.5197411003236246,4.214670981661273,0.2306460481486225,-0.002898373225298355,-0.03317082176191796,3.2671063637811195,3.233935542019201,3.238737797808118,3.23431072933314,-1.6562052905787301,-1.7247512189444378,3.266990155844295,24.6024811218986,24.59223300970874,3.211764342639297,25.802588996763753,25.776699029126213,3.200464379515039,23.503775620280475,23.38619201725998,3.25113779940415,16.6596548004315,16.53829557713053,3.109630304666084,5.0622977346278315,4.851941747572815,2.969973970244868,1.2362459546925566,1.180151024811219,2.627091114223467,0.06903991370010787,0.06364617044228695,2.5454545454545454,0.008090614886731391,0.005933117583603021,,0.0,0.0,,0.0,0.0
Hierarchical,0,Consistent Performers,378,3.1339867724867725,3.1339867724867725,3.134011578730652,-2.480624387936946e-05,60.00529100529101,59.283068783068785,3.134011578730652,0.1931216931216931,0.1931216931216931,0.0032726762569373533,59.81216931216931,0.9967273237430626,141.9318783068783,141.50595238095238,0.9967149250052627,0.7222222222222222,0.7222222222222222,0.5238095238095238,0.3772659989921895,8.433862433862434,0.14912027575296363,8.232804232804233,0.9834876543209876,8.304232804232804,0.2804257127373718,0.007903422043431746,0.0025030222793711357,3.222879936211223,3.225382958490594,3.1696971871820603,3.1976586057660086,-0.2821933967195322,-0.3039941709012588,3.231891743293418,15.912698412698413,15.907407407407407,3.110679423996194,17.23941798941799,17.21825396825397,3.029040988867883,18.924603174603174,18.892857142857142,3.1105056073311452,16.35978835978836,16.35185185185185,3.1082354225161883,22.272486772486772,22.1984126984127,3.155401234108416,14.544973544973544,14.489417989417989,3.1651105820036847,18.979497354497354,18.807539682539684,3.204527385250101,14.597883597883598,14.53968253968254,3.0151011187202883,8.589430894308943,8.589430894308943,3.675239234449761,6.794117647058823,6.794117647058823
Hierarchical,1,Struggling Students,488,1.9903565573770492,1.9903565573770492,1.9903112650221157,4.5292354933473494e-05,22.479508196721312,22.424180327868854,1.9903112650221157,3.1188524590163933,3.112704918032787,0.21738631982609252,19.360655737704917,0.7826136801739074,51.77049180327869,43.47745901639344,0.7598344676073936,0.055327868852459015,0.055327868852459015,0.02663934426229508,0.005379098360655738,1.25,0.044347680365547586,3.6188524590163933,0.4518954918032787,3.752049180327869,0.45790337182899205,-0.31967681985657737,-0.7386848453048755,2.2866269770047403,1.5479421316998647,2.1633997491984833,1.7293598661342957,-0.8173453220062132,-2.2041178328398376,2.285932165869226,16.293032786885245,13.870901639344263,2.285042616591844,12.023565573770492,10.442622950819672,2.1509189135219824,7.608606557377049,6.340163934426229,2.136451563273451,6.460553278688525,5.336577868852459,2.064823187476564,4.85655737704918,3.7704918032786887,2.1196144815484543,2.3227459016393444,1.9047131147540983,2.1427443647461395,1.682889344262295,1.365266393442623,2.145916682523825,0.5225409836065574,0.44672131147540983,,0.0,0.0,,0.0,0.0
Hierarchical,2,Late Bloomers,691,3.2215528219971055,3.2215528219971055,3.2215331890427,1.9632954405791426e-05,41.58176555716353,40.79160636758321,3.2215331890427,0.08827785817655572,0.08827785817655572,0.002338331708824917,41.493487698986975,0.9976616682911752,109.64363241678727,109.43017366136034,0.9976590265027326,0.7901591895803184,0.7554269175108539,0.2199710564399421,0.11853712094305437,4.7452966714905935,0.11294944031699089,4.458755426917511,0.5458755426917511,4.49493487698987,0.2230335839010124,0.0370123966890031,0.09294935590540321,3.197674191003248,3.2906235469086513,3.1858569127398093,3.2818631223821653,-1.7988239581928187,-1.8084315599494798,3.1971978988315515,26.246020260492042,26.22575976845152,3.17197798947953,27.470332850940665,27.44862518089725,3.2096534016386724,25.277858176555718,25.241678726483357,3.3258911365626402,19.56331403762663,19.511939218523878,3.3796824317882326,6.948625180897251,6.917510853835021,3.380802846449548,2.4131693198263386,2.3769898697539795,3.476578193981637,1.2858176555716354,1.2720694645441388,3.075336667700579,0.34442836468885674,0.341534008683068,2.4097144975899147,0.41333333333333333,0.41333333333333333,3.075,0.4533333333333333,0.4533333333333333
Hierarchical,3,Declining Performers,1736,2.947264400921659,2.947264400921659,2.9472509879618256,1.3412959833482688e-05,11.439516129032258,11.403801843317972,2.9472509879618256,0.16129032258064516,0.16129032258064516,0.0168336380943852,11.278225806451612,0.9831663619056148,27.976094470046082,27.555875576036865,0.9817697988239589,0.03571428571428571,0.03571428571428571,0.002304147465437788,0.000576036866359447,0.40380184331797236,0.02170683314213676,1.7851382488479262,0.22314228110599077,1.8317972350230414,0.08928231765334525,-0.054671631073112514,-0.07930791173353657,2.984279650118939,2.9049717383854023,2.951474888059278,2.9293056336095136,-0.6931993176520831,-0.7268206694185961,2.9893824899916326,15.50028801843318,15.247695852534562,3.0040691408817595,7.274193548387097,7.1699308755760365,3.0237468523802753,3.9086981566820276,3.855126728110599,2.989855127025113,1.2214861751152073,1.2116935483870968,2.622789115646259,0.048963133640553,0.048963133640553,3.0,0.010368663594470046,0.010368663594470046,2.5357142857142856,0.012096774193548387,0.012096774193548387,,0.0,0.0,,,,,,
